id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geo_point,position_speed,position_odometer,trip_schedule_relationship,trip_id,trip_start_date,trip_route_id,nom_alcaldia,cve_mun
86,27/01/2021 18:00,474,516,1,19.42519951,-99.11979675,"19.4251995087,-99.1197967529",5,0,0,9755075,20200428,241,Venustiano Carranza,17
87,27/01/2021 18:00,476,518,2,19.43790054,-99.1486969,"19.4379005432,-99.1486968994",2,285,0,9755287,20200428,241,Cuahtemoc,15
88,27/01/2021 18:00,482,524,1,19.43040085,-99.14179993,"19.4304008484,-99.1417999268",5,0,0,9755678,20200428,241,Cuahtemoc,15
89,27/01/2021 18:00,499,541,1,19.43050003,-99.11509705,"19.4305000305,-99.1150970459",0,0,0,9755379,20200428,241,Venustiano Carranza,17
90,27/01/2021 18:00,500,542,2,19.42720032,-99.11620331,"19.4272003174,-99.1162033081",0,558,0,9755398,20200428,241,Venustiano Carranza,17
91,27/01/2021 18:00,501,543,2,19.43099976,-99.11540222,"19.4309997559,-99.1154022217",0,556,0,9755485,20200428,241,Venustiano Carranza,17
92,27/01/2021 18:00,502,544,2,19.43880081,-99.15319824,"19.4388008118,-99.1531982422",4,0,0,9755558,20200428,241,Cuahtemoc,15
93,27/01/2021 18:00,505,547,1,19.42609978,-99.12999725,"19.4260997772,-99.1299972534",6,0,0,9755115,20200428,241,Cuahtemoc,15
94,27/01/2021 18:00,508,550,2,19.4253006,-99.12010193,"19.4253005981,-99.1201019287",1,59,0,9755750,20200428,241,Venustiano Carranza,17
95,27/01/2021 18:00,511,553,1,19.42970085,-99.13639832,"19.4297008514,-99.1363983154",5,0,0,9755704,20200428,241,Cuahtemoc,15
96,27/01/2021 18:00,558,615,2,19.4904995,-99.09320068,"19.4904994965,-99.0932006836",11,328,0,9679305,20200428,161,Gustavo A. Madero,5
97,27/01/2021 18:00,561,618,2,19.50690079,-99.08570099,"19.5069007874,-99.0857009888",0,762,0,9679435,20200428,161,Gustavo A. Madero,5
98,27/01/2021 18:00,1179,623,2,19.4598999,-99.10579681,"19.4598999023,-99.105796814",4,465,0,9678878,20200428,161,Gustavo A. Madero,5
99,27/01/2021 18:00,1075,702,1,19.51180077,-99.19609833,"19.511800766,-99.1960983276",0,122,2,,,,Azcapotzalco,2
100,27/01/2021 18:00,1079,706,1,19.4769001,-99.07250214,"19.4769001007,-99.0725021362",7,0,0,9741575,20200428,61,Gustavo A. Madero,5
